layer,expert,activation_count,share_of_layer_topk_picks
0,0,511,0.007797
0,1,478,0.007294
0,2,429,0.006546
0,3,499,0.007614
0,4,432,0.006592
0,5,676,0.010315
0,6,552,0.008423
0,7,553,0.008438
0,8,263,0.004013
0,9,168,0.002563
0,10,284,0.004333
0,11,550,0.008392
0,12,525,0.008011
0,13,217,0.003311
0,14,550,0.008392
0,15,362,0.005524
0,16,374,0.005707
0,17,732,0.011169
0,18,481,0.007339
0,19,543,0.008286
0,20,574,0.008759
0,21,243,0.003708
0,22,516,0.007874
0,23,1166,0.017792
0,24,270,0.004120
0,25,681,0.010391
0,26,711,0.010849
0,27,676,0.010315
0,28,358,0.005463
0,29,423,0.006454
0,30,292,0.004456
0,31,508,0.007751
0,32,822,0.012543
0,33,368,0.005615
0,34,170,0.002594
0,35,527,0.008041
0,36,726,0.011078
0,37,464,0.007080
0,38,938,0.014313
0,39,443,0.006760
0,40,509,0.007767
0,41,301,0.004593
0,42,400,0.006104
0,43,679,0.010361
0,44,721,0.011002
0,45,849,0.012955
0,46,696,0.010620
0,47,601,0.009171
0,48,179,0.002731
0,49,343,0.005234
0,50,1249,0.019058
0,51,405,0.006180
0,52,647,0.009872
0,53,483,0.007370
0,54,616,0.009399
0,55,493,0.007523
0,56,297,0.004532
0,57,345,0.005264
0,58,581,0.008865
0,59,404,0.006165
0,60,164,0.002502
0,61,640,0.009766
0,62,728,0.011108
0,63,731,0.011154
0,64,716,0.010925
0,65,245,0.003738
0,66,934,0.014252
0,67,480,0.007324
0,68,323,0.004929
0,69,408,0.006226
0,70,359,0.005478
0,71,302,0.004608
0,72,504,0.007690
0,73,529,0.008072
0,74,455,0.006943
0,75,539,0.008224
0,76,446,0.006805
0,77,335,0.005112
0,78,404,0.006165
0,79,616,0.009399
0,80,236,0.003601
0,81,364,0.005554
0,82,729,0.011124
0,83,586,0.008942
0,84,626,0.009552
0,85,488,0.007446
0,86,316,0.004822
0,87,394,0.006012
0,88,558,0.008514
0,89,418,0.006378
0,90,480,0.007324
0,91,550,0.008392
0,92,683,0.010422
0,93,406,0.006195
0,94,745,0.011368
0,95,481,0.007339
0,96,719,0.010971
0,97,771,0.011765
0,98,916,0.013977
0,99,725,0.011063
0,100,733,0.011185
0,101,980,0.014954
0,102,233,0.003555
0,103,368,0.005615
0,104,728,0.011108
0,105,166,0.002533
0,106,534,0.008148
0,107,524,0.007996
0,108,243,0.003708
0,109,322,0.004913
0,110,687,0.010483
0,111,597,0.009109
0,112,367,0.005600
0,113,316,0.004822
0,114,337,0.005142
0,115,576,0.008789
0,116,263,0.004013
0,117,538,0.008209
0,118,264,0.004028
0,119,705,0.010757
0,120,536,0.008179
0,121,824,0.012573
0,122,147,0.002243
0,123,189,0.002884
0,124,365,0.005569
0,125,912,0.013916
0,126,283,0.004318
0,127,897,0.013687
1,0,497,0.007584
1,1,539,0.008224
1,2,717,0.010941
1,3,326,0.004974
1,4,424,0.006470
1,5,291,0.004440
1,6,565,0.008621
1,7,1026,0.015656
1,8,444,0.006775
1,9,627,0.009567
1,10,618,0.009430
1,11,545,0.008316
1,12,493,0.007523
1,13,863,0.013168
1,14,547,0.008347
1,15,425,0.006485
1,16,765,0.011673
1,17,719,0.010971
