layer,expert,activation_count,share_of_layer_topk_picks
1,105,2621,0.009998
1,106,1580,0.006027
1,107,1473,0.005619
1,108,1411,0.005383
1,109,805,0.003071
1,110,1898,0.007240
1,111,2094,0.007988
1,112,2223,0.008480
1,113,1349,0.005146
1,114,1344,0.005127
1,115,3021,0.011524
1,116,1363,0.005199
1,117,1816,0.006927
1,118,391,0.001492
1,119,1325,0.005054
1,120,1230,0.004692
1,121,1007,0.003841
1,122,3834,0.014626
1,123,1763,0.006725
1,124,799,0.003048
1,125,2212,0.008438
1,126,2107,0.008038
1,127,2125,0.008106
2,0,3426,0.013069
2,1,1858,0.007088
2,2,1927,0.007351
2,3,1454,0.005547
2,4,1220,0.004654
2,5,1892,0.007217
2,6,1903,0.007259
2,7,1196,0.004562
2,8,1522,0.005806
2,9,2070,0.007896
2,10,2060,0.007858
2,11,1454,0.005547
2,12,631,0.002407
2,13,2133,0.008137
2,14,1661,0.006336
2,15,1207,0.004604
2,16,1585,0.006046
2,17,1058,0.004036
2,18,2155,0.008221
2,19,1601,0.006107
2,20,813,0.003101
2,21,2122,0.008095
2,22,2270,0.008659
2,23,1730,0.006599
2,24,2392,0.009125
2,25,890,0.003395
2,26,3249,0.012394
2,27,2090,0.007973
2,28,2911,0.011105
2,29,856,0.003265
2,30,1489,0.005680
2,31,1645,0.006275
2,32,3946,0.015053
2,33,1910,0.007286
2,34,1127,0.004299
2,35,2396,0.009140
2,36,2029,0.007740
2,37,1400,0.005341
2,38,2741,0.010456
2,39,3109,0.011860
2,40,1635,0.006237
2,41,1207,0.004604
2,42,2478,0.009453
2,43,2245,0.008564
2,44,1713,0.006535
2,45,1287,0.004910
2,46,1708,0.006516
2,47,2382,0.009087
2,48,1948,0.007431
2,49,377,0.001438
2,50,2539,0.009686
2,51,3954,0.015083
2,52,2289,0.008732
2,53,2788,0.010635
2,54,1951,0.007442
2,55,4091,0.015606
2,56,1871,0.007137
2,57,3384,0.012909
2,58,3576,0.013641
2,59,1843,0.007030
2,60,2816,0.010742
2,61,928,0.003540
2,62,2303,0.008785
2,63,888,0.003387
2,64,2422,0.009239
2,65,1512,0.005768
2,66,1753,0.006687
2,67,1291,0.004925
2,68,2131,0.008129
2,69,2617,0.009983
2,70,1372,0.005234
2,71,1710,0.006523
2,72,2196,0.008377
2,73,1539,0.005871
2,74,3218,0.012276
2,75,4295,0.016384
2,76,2161,0.008244
2,77,1884,0.007187
2,78,2083,0.007946
2,79,1319,0.005032
2,80,910,0.003471
2,81,1453,0.005543
2,82,2093,0.007984
2,83,1665,0.006351
2,84,1321,0.005039
2,85,1197,0.004566
2,86,1934,0.007378
2,87,1689,0.006443
2,88,2723,0.010387
2,89,1233,0.004704
2,90,5053,0.019276
2,91,1927,0.007351
2,92,4316,0.016464
2,93,1660,0.006332
2,94,2451,0.009350
2,95,1528,0.005829
2,96,3816,0.014557
2,97,2653,0.010120
2,98,1382,0.005272
2,99,1805,0.006886
2,100,2647,0.010098
2,101,800,0.003052
2,102,1435,0.005474
2,103,1499,0.005718
2,104,577,0.002201
2,105,2206,0.008415
2,106,4265,0.016270
2,107,746,0.002846
2,108,1035,0.003948
2,109,2063,0.007870
2,110,2303,0.008785
2,111,2346,0.008949
2,112,1772,0.006760
2,113,1562,0.005959
2,114,837,0.003193
2,115,4101,0.015644
2,116,3433,0.013096
2,117,1467,0.005596
2,118,1928,0.007355
2,119,1746,0.006660
