layer,expert,activation_count,share_of_layer_topk_picks
0,0,13,0.006348
0,1,14,0.006836
0,2,16,0.007812
0,3,23,0.011230
0,4,18,0.008789
0,5,28,0.013672
0,6,14,0.006836
0,7,19,0.009277
0,8,6,0.002930
0,9,6,0.002930
0,10,8,0.003906
0,11,16,0.007812
0,12,19,0.009277
0,13,9,0.004395
0,14,17,0.008301
0,15,16,0.007812
0,16,11,0.005371
0,17,22,0.010742
0,18,7,0.003418
0,19,20,0.009766
0,20,15,0.007324
0,21,8,0.003906
0,22,14,0.006836
0,23,38,0.018555
0,24,9,0.004395
0,25,13,0.006348
0,26,20,0.009766
0,27,16,0.007812
0,28,15,0.007324
0,29,14,0.006836
0,30,9,0.004395
0,31,20,0.009766
0,32,20,0.009766
0,33,14,0.006836
0,34,5,0.002441
0,35,13,0.006348
0,36,21,0.010254
0,37,10,0.004883
0,38,26,0.012695
0,39,16,0.007812
0,40,12,0.005859
0,41,14,0.006836
0,42,16,0.007812
0,43,24,0.011719
0,44,21,0.010254
0,45,15,0.007324
0,46,25,0.012207
0,47,15,0.007324
0,48,5,0.002441
0,49,12,0.005859
0,50,48,0.023438
0,51,10,0.004883
0,52,23,0.011230
0,53,13,0.006348
0,54,24,0.011719
0,55,18,0.008789
0,56,10,0.004883
0,57,15,0.007324
0,58,20,0.009766
0,59,11,0.005371
0,60,6,0.002930
0,61,17,0.008301
0,62,28,0.013672
0,63,17,0.008301
0,64,17,0.008301
0,65,10,0.004883
0,66,29,0.014160
0,67,13,0.006348
0,68,12,0.005859
0,69,11,0.005371
0,70,11,0.005371
0,71,9,0.004395
0,72,15,0.007324
0,73,24,0.011719
0,74,18,0.008789
0,75,18,0.008789
0,76,16,0.007812
0,77,8,0.003906
0,78,14,0.006836
0,79,18,0.008789
0,80,10,0.004883
0,81,16,0.007812
0,82,18,0.008789
0,83,14,0.006836
0,84,26,0.012695
0,85,21,0.010254
0,86,5,0.002441
0,87,10,0.004883
0,88,26,0.012695
0,89,9,0.004395
0,90,9,0.004395
0,91,14,0.006836
0,92,19,0.009277
0,93,11,0.005371
0,94,16,0.007812
0,95,20,0.009766
0,96,22,0.010742
0,97,25,0.012207
0,98,36,0.017578
0,99,21,0.010254
0,100,24,0.011719
0,101,26,0.012695
0,102,5,0.002441
0,103,9,0.004395
0,104,30,0.014648
0,105,7,0.003418
0,106,24,0.011719
0,107,25,0.012207
0,108,5,0.002441
0,109,13,0.006348
0,110,20,0.009766
0,111,16,0.007812
0,112,10,0.004883
0,113,13,0.006348
0,114,7,0.003418
0,115,20,0.009766
0,116,10,0.004883
0,117,17,0.008301
0,118,9,0.004395
0,119,20,0.009766
0,120,12,0.005859
0,121,24,0.011719
0,122,9,0.004395
0,123,4,0.001953
0,124,6,0.002930
0,125,23,0.011230
0,126,9,0.004395
0,127,23,0.011230
1,0,12,0.005859
1,1,16,0.007812
1,2,22,0.010742
1,3,11,0.005371
1,4,20,0.009766
1,5,9,0.004395
1,6,26,0.012695
1,7,28,0.013672
1,8,22,0.010742
1,9,17,0.008301
1,10,14,0.006836
1,11,15,0.007324
1,12,12,0.005859
1,13,34,0.016602
1,14,19,0.009277
1,15,21,0.010254
1,16,30,0.014648
1,17,22,0.010742
1,18,18,0.008789
1,19,14,0.006836
1,20,33,0.016113
1,21,17,0.008301
1,22,12,0.005859
1,23,24,0.011719
1,24,15,0.007324
1,25,14,0.006836
1,26,14,0.006836
1,27,8,0.003906
1,28,7,0.003418
1,29,11,0.005371
1,30,8,0.003906
1,31,9,0.004395
1,32,10,0.004883
1,33,15,0.007324
1,34,11,0.005371
1,35,27,0.013184
1,36,9,0.004395
1,37,14,0.006836
1,38,13,0.006348
1,39,11,0.005371
1,40,41,0.020020
1,41,20,0.009766
1,42,19,0.009277
1,43,6,0.002930
1,44,39,0.019043
1,45,9,0.004395
1,46,13,0.006348
1,47,18,0.008789
1,48,30,0.014648
1,49,20,0.009766
1,50,19,0.009277
1,51,32,0.015625
1,52,19,0.009277
1,53,15,0.007324
1,54,6,0.002930
1,55,20,0.009766
1,56,6,0.002930
1,57,18,0.008789
1,58,40,0.019531
1,59,6,0.002930
1,60,16,0.007812
1,61,8,0.003906
1,62,6,0.002930
1,63,21,0.010254
1,64,10,0.004883
1,65,13,0.006348
1,66,13,0.006348
1,67,6,0.002930
